fatia	milestone	entrega	camada	titulo
5	Fatia 5 — A Bigorna: viagem e forja (Passo 5)	o jogador viaja até A Bigorna, refina e crafta a primeira ferramenta.	backend	Refinar recursos nas estações de refino
5	Fatia 5 — A Bigorna: viagem e forja (Passo 5)	o jogador viaja até A Bigorna, refina e crafta a primeira ferramenta.	backend	Craftar: validar a estação, consumir recursos, gerar o item e creditar Fama
5	Fatia 5 — A Bigorna: viagem e forja (Passo 5)	o jogador viaja até A Bigorna, refina e crafta a primeira ferramenta.	frontend	Integrar a viagem: tempo de trânsito e troca de zona ao chegar
5	Fatia 5 — A Bigorna: viagem e forja (Passo 5)	o jogador viaja até A Bigorna, refina e crafta a primeira ferramenta.	frontend	Tela de forja: receitas disponíveis na estação atual
5	Fatia 5 — A Bigorna: viagem e forja (Passo 5)	o jogador viaja até A Bigorna, refina e crafta a primeira ferramenta.	frontend	Retorno visível do craft: o que foi consumido e o que saiu
5	Fatia 5 — A Bigorna: viagem e forja (Passo 5)	o jogador viaja até A Bigorna, refina e crafta a primeira ferramenta.	narrativa	Exibir os diálogos do Passo 5, incluindo a apresentação da Têmpera
6	Fatia 6 — Outro portador (Passo 6)	o jogador cruza com o NPC-Portador; as armas se reconhecem.	backend	Verificar e avançar os passos do tutorial
6	Fatia 6 — Outro portador (Passo 6)	o jogador cruza com o NPC-Portador; as armas se reconhecem.	backend	Disparar o encontro com o NPC-Portador quando as condições baterem
6	Fatia 6 — Outro portador (Passo 6)	o jogador cruza com o NPC-Portador; as armas se reconhecem.	frontend	Indicador de progresso do tutorial: passo atual e o que falta
6	Fatia 6 — Outro portador (Passo 6)	o jogador cruza com o NPC-Portador; as armas se reconhecem.	narrativa	Exibir a fala do NPC-Portador e a reação do Guia
7	Fatia 7 — Zonas T2 (O Verde Surdo, A Costela)	o jogador viaja para as zonas T2 e coleta e luta em tier 2.	backend	Creditar Fama de coleta T2 no nó certo (`PH_NODE_COLETA_MADEIRA`, `_MINERIO`, `_COURO`)
7	Fatia 7 — Zonas T2 (O Verde Surdo, A Costela)	o jogador viaja para as zonas T2 e coleta e luta em tier 2.	dados	Recursos e mobs de O Verde Surdo e A Costela em `zones.json`
8	Fatia 8 — Segunda arma e combate T2 (Passo 7)	o jogador descobre a segunda arma, troca, e sente a Têmpera esfriar.	backend	Combate T2: fila de habilidades com cooldowns individuais
8	Fatia 8 — Segunda arma e combate T2 (Passo 7)	o jogador descobre a segunda arma, troca, e sente a Têmpera esfriar.	backend	Salvar a ordem da fila de habilidades
8	Fatia 8 — Segunda arma e combate T2 (Passo 7)	o jogador descobre a segunda arma, troca, e sente a Têmpera esfriar.	backend	Identificar a peça que mais contribuiu com dano e creditar a Fama no nó dela
8	Fatia 8 — Segunda arma e combate T2 (Passo 7)	o jogador descobre a segunda arma, troca, e sente a Têmpera esfriar.	backend	Têmpera: multiplicador por arma equipada — sobe com uso ativo, congela offline, reseta na troca
8	Fatia 8 — Segunda arma e combate T2 (Passo 7)	o jogador descobre a segunda arma, troca, e sente a Têmpera esfriar.	frontend	Tela de fila de habilidades: ver e reordenar
8	Fatia 8 — Segunda arma e combate T2 (Passo 7)	o jogador descobre a segunda arma, troca, e sente a Têmpera esfriar.	frontend	Indicador de Têmpera, em metáfora de calor e sem jargão de sistema
8	Fatia 8 — Segunda arma e combate T2 (Passo 7)	o jogador descobre a segunda arma, troca, e sente a Têmpera esfriar.	narrativa	"Exibir os diálogos do Passo 7 — único momento em que o Guia diz ""têmpera"""
9	Fatia 9 — A Litania e a Saída (Passo 8)	o jogador vê A Litania inteira e atravessa A Encruzilhada.	backend	Persistir o progresso do jogador na Litania
9	Fatia 9 — A Litania e a Saída (Passo 8)	o jogador vê A Litania inteira e atravessa A Encruzilhada.	backend	Consultar A Litania: a árvore e o progresso do jogador
9	Fatia 9 — A Litania e a Saída (Passo 8)	o jogador vê A Litania inteira e atravessa A Encruzilhada.	backend	Marcar o tutorial como concluído e liberar a saída da ilha
9	Fatia 9 — A Litania e a Saída (Passo 8)	o jogador vê A Litania inteira e atravessa A Encruzilhada.	frontend	Tela da Litania: nós, progresso e desbloqueios
9	Fatia 9 — A Litania e a Saída (Passo 8)	o jogador vê A Litania inteira e atravessa A Encruzilhada.	frontend	Tela de escolha do destino de saída (ver questão aberta 1)
9	Fatia 9 — A Litania e a Saída (Passo 8)	o jogador vê A Litania inteira e atravessa A Encruzilhada.	frontend	Tela de conclusão do tutorial
9	Fatia 9 — A Litania e a Saída (Passo 8)	o jogador vê A Litania inteira e atravessa A Encruzilhada.	narrativa	Exibir os diálogos do Passo 8 e o fechamento da chave temática
