Tarefa,Camada,Fase,Notas,Status
Integrar viagem: POST /travel + timer na UI → atualizar zona ao terminar,Frontend,Fase 2 — O Farol,,Backlog
POST /actions/refine (refina recursos nas estações de refinamento),Backend,Fase 3 — A Cova Hub,Mesmo fluxo do craft. Receitas de refinamento são entradas separadas no recipes.json.,Backlog
Painel de inventário: slots / peso / lista de itens,Frontend,Fase 2 — O Farol,"Slots usados / total, peso atual / máximo, lista de itens com quantidade e ícone.",Backlog
"POST /equipment/equip (equipa item, limpa skills da peça trocada da fila)",Backend,,,Backlog
GET /litania (árvore JSON + progresso do player),Backend,Fase 5 — Combate T2 + A Litania,Retornar árvore do JSON + merge com dados do player. Nó sem linha no banco = bloqueado.,Backlog
Sub-tela: Skill Queue (exibir + ordenar fila de habilidades),Frontend,,Exibir habilidades disponíveis da peça equipada (Q/W/E + auto-attack). Ordenar por drag ou botões.,Backlog
Lógica de combate T2: executor de skill queue com cooldowns individuais,Backend,,Iterar fila em loop: se skill disponível (cooldown zerado) → executar. Senão → avançar. Se tudo em CD → aguardar a mais próxima.,Backlog
Determinar peça com maior contribuição de dano → creditar fama no nó correto do board,Backend,,Regra 2: verificar qual slot causou mais dano. Creditar fama no nó da peça correspondente.,Backlog
"Fama de coleta T2 creditada no nó correto (Woodcutter, Miner, Skinner)",Backend,Fase 4 — Zonas T2,"Já implementado na Fase 2, mas garantir que o nó correto é identificado por tipo de recurso.",Backlog
Sub-tela: Loadout (slots de equipamento + abrir inventário filtrado por slot),Frontend,,"Slots de gear. Ao clicar num slot, abrir inventário filtrado pelo tipo do slot.",Backlog
POST /equipment/skill-queue (salva ordem da fila de habilidades),Backend,,,Backlog
Migration SQL player_equipment + queries sqlc,Backend,,"Criar migrations/003_create_player_equipment.up.sql (slots: weapon, head, chest, boots, bag) e migrations/004_create_skill_queue.up.sql. Escrever internal/equipment/query.sql: GetEquipment, EquipItem, UnequipSlot, GetSkillQueue, SaveSkillQueue. Handler em internal/equipment/handler.go, lógica em internal/equipment/service.go.",Backlog
Migration SQL player_litania_progress + queries sqlc,Backend,,"Criar migrations/005_create_player_litania_progress.up.sql. Escrever internal/litania/query.sql: GetNodeProgress, UpsertFame, GetAllProgressByPlayer, UnlockNode. Handler em internal/litania/handler.go, lógica em internal/litania/service.go (inclui regras de distribuição de fama).",Backlog
Flag tutorial_completed no player_state + validação na rota de viagem,Backend,Fase 6 — Saída,Ação de viajar para Cidade Iniciante só disponível quando tutorial_completed = true.,Backlog
Tela: Seleção de Cidade Inicial (5 opções),Frontend,Fase 6 — Saída,5 opções de cidade. Visual apenas na PoC — todas levam ao mesmo estado de saída.,Backlog
Tela: Tutorial Concluído (mensagem + gateway para o mundo pós-PoC),Frontend,Fase 6 — Saída,,Backlog
Tela: A Litania (nós + barras de progresso + desbloqueios),Frontend,Fase 5 — Combate T2 + A Litania,"Cinza = bloqueado, cor = desbloqueado, barra de progresso = em andamento. Na PoC: lista agrupada por branch é suficiente.",Backlog
GET /inventory (retorna lista de itens com quantity e peso),Backend,Fase 2 — O Farol,Retornar lista de itens com quantity e peso total. Necessário para o frontend montar o painel de inventário.,Backlog
Componente: progresso do tutorial (passo atual + condição de conclusão),Frontend,Fase 2 — O Farol,Exibir o passo atual do tutorial e o que falta para concluí-lo. Pode ser um banner simples na tela de zona.,Backlog
Lógica de verificação dos passos do tutorial (TutorialService),Backend,Fase 2 — O Farol,Ler tutorial/steps.json e verificar a cada ação concluída se a condição do passo atual foi atingida. Avançar o passo e retornar flag de progresso ao cliente.,Backlog
Criar resources/nodes.json (nós de recurso por zona/bioma),Dados,Fase 0 — Setup,Nós de recurso por zona e bioma. Define o que pode ser coletado em cada ponto do mapa.,Backlog
